Timestamp,BTC_Volume,CURRENCY_Volume,Daily_Open,Daily_Close,Daily_High,Daily_Low
10/11/15 23:59,13.58083955,3366.894758,244.83,245.19,248.5,244.79
3/22/16 23:59,88.32595875,36764.34387,414.96,408.53,416.99,413.75
6/30/20 23:59,32.06362848,293143.6471,9154.11,9153.97,9192.25,9060
5/21/17 23:59,82.80478674,167214.1538,2059.81,2060.68,2062.85,1961.52
8/29/14 23:59,8.60338518,4374.380954,506.94,509.3,514.98,501.25
3/2/18 23:59,50.95232917,560921.7807,10922.99,10921.66,11114.63,10774.01
10/22/16 23:59,25.95103771,16966.92078,635.5,635.46,656,634.52
10/31/20 23:59,31.67350034,437317.4482,13922.37,13930.26,13952.66,13693.09
7/24/18 23:59,953.4759997,8020851.18,8231.26,8231.26,8496.96,8112.06
1/2/18 23:59,905.967605,13326488.68,13587.99,13588,15257.53,13519.59
4/20/20 23:59,89.36311918,612328.9275,7000,6992.63,7107.38,6757.75
5/22/17 23:59,609.1519953,1254716.685,2094.97,2094.97,2230.34,2001
2/21/16 23:59,43.31855534,18983.41831,429.81,447.7,447.99,425.98
1/11/18 23:59,133.8969196,1783354.84,13461.8,13461.8,14200,12886
10/25/18 23:59,18.72656222,119865.183,6395.48,6396.92,6413.2,6389.48
10/25/17 23:59,101.5631041,583161.2287,5527.28,5527.32,5748,5424.99
2/7/21 23:59,122.7805582,4790265.788,38971.89,38991.36,39328.13,37412.93
7/31/20 23:59,54.16103985,614452.6195,11188.45,11191.06,11457.95,11121.76
7/20/20 23:59,64.36904993,590021.0634,9151.68,9155,9212.59,9141.76
2/10/14 23:59,598.9944921,413398.3305,680.49,687.81,755.42,530
4/13/20 23:59,160.375654,1100151.122,6838.29,6838.29,6914.01,6605.99
2/21/21 23:59,76.2971205,4387615.681,57371.3,57374.81,58354.14,56650
12/10/16 23:59,2.92872096,2261.861643,771.98,771.98,774.12,770.77
2/19/16 23:59,49.39432008,20723.2348,418.79,418.79,421.71,416.66
9/8/14 23:59,19.43574004,9094.733222,477.4,468.33,478.39,456.3
8/19/20 23:59,356.2202724,4175587.082,11836.11,11840.71,11933.7,11574.4
6/2/18 23:59,22.19636563,169512.0057,7640.78,7646.98,7676.29,7581.03
6/12/19 23:59,63.56938449,517938.6155,8030.32,8030.4,8266,7929.53
11/21/20 23:59,22.25150242,416736.7908,18529.55,18530.14,18925,18333.45
3/29/19 23:59,216.0345424,883288.1307,4096.28,4096.28,4102.57,4061.05
3/15/17 23:59,37.04261895,46576.62992,1254.98,1254.98,1260,1245.29
7/11/17 23:59,80.86832415,186766.7162,2343.63,2347.99,2399,2300
5/5/16 23:59,202.6665785,91013.99543,445.98,445.99,450,445.32
3/3/17 23:59,25.41164625,32683.79462,1290,1290.41,1294.43,1257
11/26/15 23:59,1.42465,503.2006265,354.78,354.11,369.7,340.55
1/17/18 23:59,378.2822613,4235733.439,10011.57,10002.18,11575.71,9222
12/11/20 23:59,65.14023756,1176668.433,17640.89,17640.89,18177.23,17601.66
3/30/20 23:59,96.78758825,619931.5105,6373,6379.85,6630,6267.35
2/11/17 23:59,20.16810936,20395.18297,974.22,976,1020,963.9
7/2/19 23:59,172.5844927,1856506.343,10080.9,10077.71,10942.63,9853.45
11/1/20 23:59,19.12298872,263166.9786,13675,13678.8,13871.41,13655
6/8/20 23:59,316.4564361,3094559.783,9730.43,9735,9811.44,9653.16
9/4/19 23:59,79.15597022,836776.5744,10520.1,10511.31,10834.15,10378.7
2/20/21 23:59,40.76804707,2287148.555,55976.38,55976.4,57553.81,54000
3/5/20 23:59,248.78383,2254483.281,9115.51,9115.24,9169,9030
3/4/20 23:59,72.55285685,635210.5293,8731.01,8748.06,8790.05,8663.76
4/30/20 23:59,316.429565,2737076.551,8925.12,8922.57,8934.46,8407
1/7/17 23:59,388.3926358,349451.2978,874.01,874.01,907.05,861.33
8/4/19 23:59,114.554662,1257977.555,10689.07,10689.42,11085.99,10654.87
8/25/16 23:59,1.83341986,1055.500836,575.5,580.22,576.99,573.01
10/10/20 23:59,6.93411294,78335.58111,11326.94,11330,11420,11267.31
10/22/18 23:59,37.20103926,238426.6483,6402.55,6401.96,6415,6372.53
7/1/20 23:59,33.82881837,312762.618,9156.61,9156.07,9300,9134.69
2/15/15 23:59,54.29580274,12747.6224,254.31,255.37,255.3,227.75
11/27/20 23:59,100.0251307,1711630.853,16801.54,16800.35,17156.26,16435.47
9/9/14 23:59,146.4513437,69382.9105,468.32,473.2,476.4,459.18
6/12/18 23:59,610.774122,3984373.801,6841.44,6831.5,6847.44,6461.42
2/29/16 23:59,254.3490476,110952.6261,435.88,435.87,439.67,432.5
4/30/16 23:59,6.13464678,2743.64109,450,453.79,456.9,446.5
7/26/19 23:59,7.37042078,72594.21507,9811.79,9812.31,9897.46,9710.76
1/24/20 23:59,19.75734625,166401.3524,8350.57,8354.69,8530.7,8349.15
8/1/20 23:59,163.1884411,1926252.101,11650.52,11650.52,11883.36,11479.98
7/11/18 23:59,55.05491966,350780.6965,6370.66,6373.38,6396.26,6291
2/20/18 23:59,723.275585,8071344.161,11411.29,11412.86,11780,11080.37
11/20/14 23:59,44.04393187,15675.34279,379.04,356.47,381.8,351.8
7/21/14 23:59,29.21028562,18154.59893,626.98,622.73,628,615
7/18/19 23:59,5.31210416,56567.32113,9804.48,9803.56,10797,9280.33
7/19/20 23:59,11.02434472,101657.1339,9131.55,9128.34,9243.36,9114.62
4/6/17 23:59,85.63417943,102140.0042,1175.13,1176.46,1201.37,1161.04
