Timestamp,Hourly_Close
8/4/18 14:59,7065.61
3/17/19 13:59,3965.97
11/21/14 12:59,353.99
11/28/18 2:59,3805.68
5/9/20 6:59,9767.93
3/20/19 21:59,4009.86
12/21/16 2:59,801.46
11/25/14 19:59,380.7
4/6/20 2:59,6817.38
8/13/19 19:59,10886.99
1/25/18 8:59,11324.84
11/21/20 0:59,18738.74
1/17/17 7:59,879.63
1/2/18 14:59,13811
12/20/19 12:59,7185.99
9/6/17 23:59,4612.37
4/19/16 12:59,430
2/20/17 14:59,1058.47
9/29/18 5:59,6485.32
4/12/14 0:59,430.98
10/1/20 20:59,10602.07
9/7/20 7:59,10140.98
10/2/14 22:59,372.01
2/7/19 18:59,3357.3
1/4/15 6:59,279.89
1/31/18 3:59,9910.37
9/1/18 22:59,7200
1/22/18 12:59,11347.01
3/29/17 7:59,1014.2
2/5/20 7:59,9236
12/9/19 9:59,7464.17
8/19/19 17:59,10702.41
12/3/15 9:59,362.7
10/11/16 15:59,632.55
6/12/17 7:59,2943.01
10/15/18 18:59,6402.68
1/20/18 20:59,12816.92
5/12/20 12:59,8773.75
8/21/18 10:59,6440
8/15/20 4:59,11868.68
4/24/19 7:59,5487.86
2/25/16 19:59,422.92
4/10/19 4:59,5232.48
4/30/19 12:59,5214.81
4/5/19 8:59,4972.46
6/25/20 11:59,9271.88
7/29/14 20:59,581.3
7/26/20 20:59,9893.68
10/8/17 9:59,4448.21
5/31/18 3:59,7369.98
2/2/21 19:59,35638.34
11/20/14 8:59,363.67
12/10/18 7:59,3487.01
6/3/19 22:59,8470.01
7/12/18 7:59,6175.89
5/14/19 17:59,7974.83
5/9/19 9:59,6046.93
4/18/15 23:59,223.41
12/11/15 16:59,435.92
8/16/17 22:59,4310.52
2/7/16 14:59,378.82
8/9/14 21:59,590.01
4/6/18 5:59,6792.96
8/13/19 10:59,11249.56
10/11/17 22:59,4804.96
12/16/14 13:59,337.99
4/1/18 10:59,6701.02
10/13/17 1:59,5472.34
11/19/17 17:59,7955.41
2/22/15 17:59,236.01
10/8/14 21:59,351.99
4/9/15 8:59,242.91
6/23/17 6:59,2730.13
11/15/19 16:59,8439.2
4/23/20 4:59,7139.78
11/8/18 16:59,6421.03
1/23/14 18:59,812.25
12/18/16 14:59,783.8
3/31/16 1:59,415.98
5/25/17 9:59,2647.01
10/12/17 18:59,5316.1
7/23/19 20:59,10167.93
10/1/15 1:59,236.78
9/7/14 11:59,482.05
